fold,left_out_subject,epoch,train_loss,train_accuracy
11,S13,3,0.6449938712877993,0.6595669776447809
11,S13,4,0.6148464369996294,0.68597077979229
11,S13,5,0.565169879949926,0.7012849850378454
11,S13,6,0.5099061429867797,0.7377222320014082
11,S13,7,0.459272774817385,0.7871853546910755
11,S13,8,0.42016733941782575,0.7993311036789298
11,S13,9,0.38224390179018514,0.8206301707445872
11,S13,10,0.36180483940788777,0.8359443759901426
12,S14,1,0.6839667346103576,0.3682450272839289
12,S14,2,0.6645025342015645,0.6009505368773104
12,S14,3,0.6387807820972643,0.6769934870621369
12,S14,4,0.6086533132876923,0.702869213166696
12,S14,5,0.560361605035946,0.7074458722055976
12,S14,6,0.49966352223258814,0.7477556768174617
12,S14,7,0.4670789726622779,0.7729273015314205
12,S14,8,0.4291488685630573,0.7938743179017779
12,S14,9,0.4167690925553239,0.7998591797218799
12,S14,10,0.39708061857272614,0.8148213342721352
13,S15,1,0.6896099365078704,0.36467687973234725
13,S15,2,0.6725392346441756,0.5710512414157423
13,S15,3,0.6482431032872153,0.6391970417326994
13,S15,4,0.6042699689154769,0.7108645888360627
13,S15,5,0.5369891502903809,0.7488994541292481
13,S15,6,0.4625791515981171,0.7864060574044727
13,S15,7,0.41221704737446135,0.8129952456418383
13,S15,8,0.3525633840918604,0.8462757527733756
13,S15,9,0.3240179006672174,0.8631801373481247
13,S15,10,0.31963211208251313,0.8654692727592886
14,S16,1,0.6818053806302247,0.35990848292854627
14,S16,2,0.6368696652261022,0.6448433650123196
14,S16,3,0.5992297868794095,0.7215769095388948
14,S16,4,0.5610969813723499,0.7469200985568462
14,S16,5,0.5131459428113516,0.7703273495248152
14,S16,6,0.4507787631813467,0.791094684970081
14,S16,7,0.4312652400768546,0.8025343189017952
14,S16,8,0.40068629225640595,0.8123900035198873
14,S16,9,0.39111504423412713,0.8255895811334037
14,S16,10,0.3721538647217299,0.8312214009151707
15,S17,1,0.6923110181115287,0.2964203844119203
15,S17,2,0.6706426788776393,0.48527596543819435
15,S17,3,0.6439013449293536,0.6787162757891024
15,S17,4,0.5978888586134617,0.7199788397108093
15,S17,5,0.5506275046115576,0.7148651031564098
15,S17,6,0.49874059657553604,0.753129959442779
15,S17,7,0.4474795282233899,0.7869864221477694
15,S17,8,0.42961818278308816,0.7968612237700582
15,S17,9,0.40787126497288184,0.8093810615411744
15,S17,10,0.37328045569679513,0.8289543290424969
